               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.033426,            0.024221,           0.0052671,             0.80315,             0.64382,             0.66215,              0.3863,            0.033237,            0.019496,           0.0088122,           0.0080682,           0.0080682,           0.0080682
                  48,            0.033083,            0.024312,            0.005387,             0.89936,             0.60652,             0.66059,             0.39364,            0.033907,            0.019398,           0.0083176,           0.0079903,           0.0079903,           0.0079903
                  49,            0.032802,            0.024187,           0.0053879,             0.58775,             0.63916,             0.57748,             0.34759,            0.033338,            0.019422,           0.0081661,           0.0079112,           0.0079112,           0.0079112
                  50,            0.032491,            0.024592,            0.004954,             0.92714,             0.59515,             0.67811,             0.42027,            0.032604,            0.018869,           0.0074509,           0.0078311,           0.0078311,           0.0078311
                  51,            0.032736,            0.025532,           0.0052554,             0.88378,             0.63856,             0.65774,             0.41938,             0.03286,            0.019065,           0.0077627,             0.00775,             0.00775,             0.00775
                  52,            0.033161,            0.023514,           0.0045517,             0.85783,             0.62079,             0.67548,             0.41249,             0.03251,             0.01948,           0.0070722,           0.0076679,           0.0076679,           0.0076679
                  53,            0.032251,            0.025109,           0.0048378,             0.61636,             0.57196,             0.58477,             0.34794,            0.031898,            0.018968,           0.0081279,           0.0075848,           0.0075848,           0.0075848
                  54,             0.03182,            0.024079,           0.0049486,             0.94172,             0.56893,             0.70794,             0.40508,            0.032704,            0.018936,           0.0077431,           0.0075009,           0.0075009,           0.0075009
                  55,            0.031933,            0.024899,           0.0048227,             0.94879,             0.59719,             0.67099,             0.40115,            0.032292,            0.018857,           0.0076632,            0.007416,            0.007416,            0.007416
                  56,            0.032202,             0.02351,            0.004842,              0.9145,             0.59594,             0.67026,             0.41564,            0.032549,            0.019143,           0.0070271,           0.0073303,           0.0073303,           0.0073303
                  57,            0.031469,            0.023735,           0.0045573,             0.82289,             0.59498,             0.66882,             0.42529,            0.032892,            0.019454,           0.0072151,           0.0072438,           0.0072438,           0.0072438
                  58,            0.031505,            0.023118,           0.0043303,             0.91933,             0.58202,             0.66828,             0.41941,            0.032484,            0.018941,           0.0075893,           0.0071566,           0.0071566,           0.0071566
                  59,            0.031083,            0.023231,           0.0044518,             0.82028,             0.62401,             0.67259,             0.43194,            0.031379,             0.01874,           0.0068829,           0.0070686,           0.0070686,           0.0070686
                  60,            0.031416,             0.02396,           0.0044151,             0.93028,             0.57735,             0.66106,             0.39949,            0.032018,            0.018589,           0.0074163,           0.0069799,           0.0069799,           0.0069799
                  61,            0.030844,            0.023505,           0.0041004,             0.73809,             0.64345,              0.6961,             0.41545,            0.032151,            0.018923,           0.0075702,           0.0068906,           0.0068906,           0.0068906
                  62,            0.031273,            0.023659,           0.0044731,             0.74915,             0.66214,             0.68915,             0.40815,             0.03361,            0.018882,           0.0075978,           0.0068006,           0.0068006,           0.0068006
                  63,            0.030293,            0.022651,           0.0042277,             0.76532,             0.62079,             0.65822,             0.40229,            0.031591,            0.018565,           0.0081569,           0.0067101,           0.0067101,           0.0067101
                  64,            0.030806,             0.02367,           0.0039234,             0.80921,             0.58127,              0.6399,             0.37702,            0.031718,            0.019216,           0.0082307,           0.0066191,           0.0066191,           0.0066191
                  65,            0.030365,            0.022953,           0.0039805,             0.76185,             0.66004,             0.67315,             0.40718,            0.031957,            0.019132,           0.0076058,           0.0065276,           0.0065276,           0.0065276
                  66,            0.029554,             0.02267,           0.0039721,             0.77535,             0.59652,             0.67905,             0.40689,            0.032983,            0.018731,           0.0069878,           0.0064356,           0.0064356,           0.0064356
                  67,            0.030347,            0.023951,           0.0039537,             0.83548,             0.60108,             0.66698,             0.39391,            0.031787,            0.018795,           0.0089072,           0.0063432,           0.0063432,           0.0063432
                  68,            0.030138,            0.022899,           0.0038163,             0.79476,               0.631,             0.68743,             0.41387,            0.031182,            0.018899,           0.0074844,           0.0062505,           0.0062505,           0.0062505
                  69,            0.030121,            0.023271,           0.0036039,             0.92142,             0.59433,             0.68756,             0.41279,            0.032086,            0.018873,           0.0073162,           0.0061574,           0.0061574,           0.0061574
                  70,            0.030175,             0.02196,           0.0038366,               0.815,             0.69929,             0.71652,             0.44695,            0.031164,            0.018223,           0.0079759,            0.006064,            0.006064,            0.006064
                  71,            0.029664,            0.023447,           0.0036618,             0.91049,             0.62328,             0.69967,             0.42161,             0.03279,              0.0187,           0.0067916,           0.0059704,           0.0059704,           0.0059704
                  72,            0.029514,            0.023142,           0.0033244,             0.89216,             0.64722,             0.68777,             0.42613,            0.031586,            0.018798,            0.007603,           0.0058766,           0.0058766,           0.0058766
                  73,            0.029972,            0.022845,            0.003792,             0.93049,              0.6207,             0.69013,             0.41373,             0.03203,            0.018443,           0.0072874,           0.0057826,           0.0057826,           0.0057826
                  74,            0.029125,            0.022297,           0.0032877,             0.90393,             0.61367,             0.70517,             0.40901,            0.032166,            0.018835,           0.0076649,           0.0056884,           0.0056884,           0.0056884
                  75,            0.029278,             0.02283,           0.0032119,             0.90878,             0.61477,             0.69917,             0.42787,            0.032063,            0.018621,           0.0074366,           0.0055942,           0.0055942,           0.0055942
                  76,            0.028743,            0.022609,           0.0031576,             0.90975,             0.62442,             0.69327,             0.41765,            0.032639,            0.018604,           0.0070042,              0.0055,              0.0055,              0.0055
                  77,            0.028814,            0.022553,           0.0032693,             0.58852,              0.6344,             0.63982,              0.3795,             0.03293,            0.018812,           0.0087594,           0.0054058,           0.0054058,           0.0054058
                  78,            0.028707,            0.022836,           0.0031291,             0.74248,             0.62948,              0.6716,             0.41503,            0.032083,            0.018728,           0.0076587,           0.0053116,           0.0053116,           0.0053116
                  79,            0.028862,            0.022352,           0.0029532,             0.84378,             0.64326,             0.69418,             0.41763,            0.032659,            0.018976,           0.0071389,           0.0052174,           0.0052174,           0.0052174
                  80,            0.028061,            0.021414,            0.003088,             0.94712,             0.58421,             0.67308,             0.42774,            0.032328,            0.019154,           0.0081266,           0.0051234,           0.0051234,           0.0051234
                  81,            0.028148,            0.022214,           0.0029252,             0.78883,             0.65654,             0.66638,             0.40707,             0.03207,             0.01891,           0.0073246,           0.0050296,           0.0050296,           0.0050296
                  82,            0.028597,            0.021797,           0.0030007,             0.87453,             0.65127,             0.70611,             0.43469,            0.031877,            0.019027,           0.0072571,            0.004936,            0.004936,            0.004936
                  83,            0.028646,             0.02226,           0.0030409,             0.75775,             0.66167,             0.67551,             0.40929,            0.031324,            0.018308,           0.0081301,           0.0048426,           0.0048426,           0.0048426
                  84,            0.027975,            0.021493,           0.0029326,             0.93512,             0.64039,              0.6969,              0.4187,            0.031835,            0.018384,           0.0074975,           0.0047495,           0.0047495,           0.0047495
                  85,            0.028104,             0.02292,           0.0028162,             0.82508,             0.61739,             0.70743,             0.42156,            0.031939,            0.018394,           0.0070245,           0.0046568,           0.0046568,           0.0046568
                  86,            0.028439,            0.021778,           0.0029173,             0.74817,             0.63832,             0.66689,             0.40309,            0.032329,            0.018711,           0.0076974,           0.0045644,           0.0045644,           0.0045644
                  87,            0.027936,             0.02184,           0.0028824,             0.87896,             0.61336,             0.69914,             0.41811,            0.031488,            0.019059,           0.0074717,           0.0044724,           0.0044724,           0.0044724
                  88,            0.027591,            0.021835,           0.0029361,             0.86266,              0.6254,             0.69127,             0.42987,            0.030772,            0.018327,           0.0075207,           0.0043809,           0.0043809,           0.0043809
                  89,            0.027832,            0.021432,           0.0029121,             0.88531,             0.65324,             0.70416,              0.4145,            0.031155,            0.018332,           0.0072283,           0.0042899,           0.0042899,           0.0042899
                  90,             0.02802,            0.021535,           0.0028617,              0.8499,             0.62759,             0.70205,             0.42819,             0.03187,            0.018391,             0.00679,           0.0041994,           0.0041994,           0.0041994
                  91,            0.027592,             0.02181,           0.0027578,             0.79978,             0.63999,             0.69011,             0.41681,             0.03143,            0.018817,           0.0080785,           0.0041094,           0.0041094,           0.0041094
                  92,            0.027182,            0.021379,           0.0026687,             0.89476,             0.62079,             0.69076,             0.42982,            0.031381,            0.018199,             0.00648,           0.0040201,           0.0040201,           0.0040201
                  93,            0.027149,            0.022106,           0.0026551,             0.94737,             0.65043,             0.69846,             0.43844,            0.030895,            0.018052,           0.0082121,           0.0039314,           0.0039314,           0.0039314
                  94,            0.026621,             0.02149,           0.0026179,             0.84556,             0.63579,             0.66928,             0.42222,            0.031419,            0.018235,           0.0077535,           0.0038434,           0.0038434,           0.0038434
                  95,            0.027247,            0.021304,           0.0022541,             0.90059,             0.65307,             0.70927,              0.4342,            0.031108,            0.018278,           0.0080395,           0.0037562,           0.0037562,           0.0037562
                  96,            0.027005,            0.021084,           0.0025103,             0.89537,             0.63075,             0.68099,             0.43034,            0.030948,             0.01802,           0.0092497,           0.0036697,           0.0036697,           0.0036697
