               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,            0.034972,            0.023564,            0.003984,             0.86826,             0.66916,             0.76782,             0.46294,            0.032589,            0.020665,           0.0069204,           0.0082207,           0.0082207,           0.0082207
                  46,            0.034824,            0.024525,           0.0037774,             0.86885,             0.62181,             0.72677,             0.43124,            0.033776,            0.021201,           0.0062957,            0.008145,            0.008145,            0.008145
                  47,            0.034456,            0.024508,            0.004124,             0.85041,             0.65197,             0.73753,             0.41819,            0.035254,            0.021759,           0.0063476,           0.0080682,           0.0080682,           0.0080682
                  48,            0.033903,            0.024523,           0.0039992,             0.90153,             0.69962,             0.78158,             0.43135,            0.033619,            0.020627,           0.0069384,           0.0079903,           0.0079903,           0.0079903
                  49,            0.033274,            0.022642,            0.004204,             0.84792,             0.70486,             0.77891,             0.45093,            0.033863,            0.021197,           0.0056755,           0.0079112,           0.0079112,           0.0079112
                  50,            0.033634,            0.022998,           0.0040553,             0.88803,             0.74063,             0.78036,             0.45476,            0.033701,            0.020719,           0.0067794,           0.0078311,           0.0078311,           0.0078311
                  51,            0.034154,             0.02386,           0.0037193,             0.85335,             0.70968,             0.76579,             0.45419,            0.033914,            0.020098,           0.0076105,             0.00775,             0.00775,             0.00775
                  52,            0.033584,            0.023601,           0.0035033,             0.88899,             0.69478,              0.7569,             0.42907,             0.03424,            0.020724,           0.0052502,           0.0076679,           0.0076679,           0.0076679
                  53,            0.033244,            0.023248,           0.0032673,             0.94059,             0.64828,             0.76041,             0.44164,            0.033094,            0.020679,           0.0052523,           0.0075848,           0.0075848,           0.0075848
                  54,            0.033034,            0.023276,           0.0031277,             0.79713,             0.76168,             0.79282,             0.47167,            0.033024,            0.021567,           0.0058789,           0.0075009,           0.0075009,           0.0075009
                  55,            0.032432,            0.023998,            0.003008,              0.7925,             0.75104,             0.78159,             0.45278,            0.033487,            0.020251,            0.007555,            0.007416,            0.007416,            0.007416
                  56,            0.032311,            0.023036,           0.0031599,              0.9242,             0.69933,             0.77958,             0.44434,            0.033281,            0.021282,           0.0060463,           0.0073303,           0.0073303,           0.0073303
                  57,            0.032251,            0.023556,           0.0033101,             0.78759,             0.76675,             0.77907,             0.45312,            0.032869,            0.020516,           0.0078089,           0.0072438,           0.0072438,           0.0072438
